Date,Close_Price,Ticker,Volatility_30d
2023-09-27,240.5,TSLA,16.47
2023-09-28,246.38,TSLA,15.86
2023-09-29,250.22,TSLA,14.75
2023-10-02,251.6,TSLA,13.11
2023-10-03,246.53,TSLA,12.55
2023-10-04,261.16,TSLA,12.07
2023-10-05,260.05,TSLA,11.68
2023-10-06,260.53,TSLA,10.75
2023-10-09,259.67,TSLA,10.28
2023-10-10,263.62,TSLA,9.81
2023-10-11,262.99,TSLA,9.87
2023-10-12,258.87,TSLA,9.87
2023-10-13,251.12,TSLA,9.94
2023-10-16,253.92,TSLA,9.69
2023-10-17,254.85,TSLA,9.7
2023-10-18,242.68,TSLA,10.02
2023-10-19,220.11,TSLA,12.06
2023-10-20,211.99,TSLA,14.46
2023-10-23,212.08,TSLA,15.99
2023-10-24,216.52,TSLA,17.05
2023-10-25,212.42,TSLA,18.01
2023-10-26,205.76,TSLA,18.93
2023-10-27,207.3,TSLA,19.52
2023-10-30,197.36,TSLA,20.92
2023-10-31,200.84,TSLA,21.72
2023-11-01,205.66,TSLA,22.17
2023-11-02,218.51,TSLA,22.2
2023-11-03,219.96,TSLA,22.36
2023-11-06,219.27,TSLA,22.47
2023-11-07,222.18,TSLA,22.52
2023-11-08,222.11,TSLA,22.6
2023-11-09,209.98,TSLA,22.89
2023-11-10,214.65,TSLA,22.87
2023-11-13,223.71,TSLA,22.58
2023-11-14,237.41,TSLA,22.42
2023-11-15,242.84,TSLA,21.79
2023-11-16,233.59,TSLA,21.04
2023-11-17,234.3,TSLA,20.2
2023-11-20,235.6,TSLA,19.36
2023-11-21,241.2,TSLA,18.3
2023-11-22,234.21,TSLA,17.02
2023-11-24,235.45,TSLA,15.94
2023-11-27,236.08,TSLA,15.3
2023-11-28,246.72,TSLA,14.86
2023-11-29,244.14,TSLA,14.21
2023-11-30,240.08,TSLA,14.09
2023-12-01,238.83,TSLA,14.35
2023-12-04,235.58,TSLA,14.32
2023-12-05,238.72,TSLA,14.33
2023-12-06,239.37,TSLA,14.43
2023-12-07,242.64,TSLA,14.47
2023-12-08,243.84,TSLA,14.17
2023-12-11,239.74,TSLA,13.71
2023-12-12,237.01,TSLA,12.31
2023-12-13,239.29,TSLA,10.97
2023-12-14,251.05,TSLA,10.26
2023-12-15,253.5,TSLA,10.44
2023-12-18,252.08,TSLA,10.48
2023-12-19,257.22,TSLA,10.65
2023-12-20,247.14,TSLA,10.39
2023-12-21,254.5,TSLA,10.34
2023-12-22,252.54,TSLA,9.0
2023-12-26,256.61,TSLA,8.01
2023-12-27,261.44,TSLA,7.97
2023-12-28,253.18,TSLA,8.08
2023-12-29,248.48,TSLA,8.12
2024-01-02,248.42,TSLA,7.91
2024-01-03,238.45,TSLA,7.75
2024-01-04,237.93,TSLA,7.67
2024-01-05,237.49,TSLA,7.76
2024-01-08,240.45,TSLA,7.55
2024-01-09,234.96,TSLA,7.57
2024-01-10,233.94,TSLA,7.67
2024-01-11,227.22,TSLA,8.3
2024-01-12,218.89,TSLA,9.5
2024-01-16,219.91,TSLA,10.41
2024-01-17,215.55,TSLA,11.52
2024-01-18,211.88,TSLA,12.72
2024-01-19,212.19,TSLA,13.77
2024-01-22,208.8,TSLA,14.92
2024-01-23,209.14,TSLA,15.87
2024-01-24,207.83,TSLA,16.76
2024-01-25,182.63,TSLA,19.45
2024-01-26,183.25,TSLA,21.62
2024-01-29,190.93,TSLA,22.91
2024-01-30,191.59,TSLA,23.73
2024-01-31,187.29,TSLA,24.5
2024-02-01,188.86,TSLA,25.01
2024-02-02,187.91,TSLA,25.16
2024-02-05,181.06,TSLA,25.86
2024-02-06,185.1,TSLA,25.84
2024-02-07,187.58,TSLA,25.61
2024-02-08,189.56,TSLA,24.88
2024-02-09,193.57,TSLA,23.47
2024-02-12,188.13,TSLA,22.5
2024-02-13,184.02,TSLA,21.73
2024-02-14,188.71,TSLA,20.55
2024-02-15,200.45,TSLA,19.6
2024-02-16,199.95,TSLA,18.55
2024-02-20,193.76,TSLA,17.43
2024-02-21,194.77,TSLA,15.83
2024-02-22,197.41,TSLA,14.38
2024-02-23,191.97,TSLA,12.8
2024-02-26,199.4,TSLA,11.5
2024-02-27,199.73,TSLA,10.71
2024-02-28,202.04,TSLA,9.78
